0,1,2,3
0.11719372,0.36233196,0.8678863,0.018333334
0.011210183,0.9064041,0.17663926,0.14712563
0.053785726,0.65260285,0.45660123,0.066091195
0.07967935,0.35547075,0.7478836,0.029378243
0.009518961,0.91087765,0.22495255,0.1235321
0.092144474,0.47044736,0.5985088,0.073589794
0.019969635,0.87626344,0.21443053,0.1140529
0.018771471,0.8689774,0.30881038,0.07039459
0.014992226,0.8613777,0.32887366,0.11435515
0.10365244,0.39627287,0.771184,0.02873926
0.0050958637,0.9560053,0.14184175,0.059669707
0.020293266,0.803472,0.26372296,0.2494646
0.051250383,0.626603,0.47944236,0.070498206
0.0058331895,0.9557668,0.14899403,0.07034055
0.08778799,0.34458557,0.7850002,0.023709552
0.018532716,0.82173884,0.247908,0.1727415
0.01300999,0.89462554,0.21083818,0.16593008
0.015500888,0.87006986,0.24960077,0.082603246
0.025954433,0.7910867,0.34177554,0.0785665
0.008793213,0.92110866,0.1822517,0.077875644
0.008258643,0.9139327,0.2202061,0.10616873
0.089800216,0.32480276,0.8460242,0.015485128
0.007765766,0.93891865,0.1839351,0.0845179
0.043961685,0.73929226,0.4139205,0.0648116
0.09709443,0.45044732,0.6298756,0.053651143
0.007772838,0.94001424,0.17120428,0.09430875
0.091043636,0.47025713,0.6186195,0.074808
0.016983708,0.8694126,0.24116093,0.10001844
0.010204621,0.89991736,0.20751038,0.09782465
0.011149983,0.90430576,0.18444116,0.15898569
0.006797282,0.95200646,0.16472666,0.10139718
0.013112296,0.9010014,0.23516664,0.13084663
0.010602656,0.90011036,0.16648012,0.14611049
0.06518802,0.40310603,0.6190786,0.042554446
0.005597262,0.9489401,0.15284725,0.071479656
0.010524982,0.9095125,0.20963167,0.081267744
0.11129886,0.5275735,0.7222392,0.05081581
0.025013871,0.79008824,0.2578518,0.40965486
0.05615775,0.28168288,0.9906101,0.0005016224
0.097223334,0.35672417,0.8215818,0.02315107
0.008144421,0.9059131,0.16136675,0.1050141
0.05977869,0.33338526,0.88946605,0.007856148
0.022055736,0.80884796,0.21519504,0.3470236
0.019381352,0.86512935,0.28301466,0.074727856
0.034685597,0.7746813,0.35739908,0.07929598
0.03074726,0.814447,0.27421713,0.12491782
0.019997666,0.8593182,0.24639449,0.29987022
0.08930042,0.39885747,0.6469602,0.042627204
0.0059882314,0.95447177,0.15770707,0.08652809
